"Fragment"	"WithVars"	"MoreHomozygous"	"AUC"
12005	7724	761	80970564.0616691
11558	7493	823	86038821.7248747
11826	7744	832	90105272.0867832
11465	7491	778	89484640.2893953
11884	7637	883	91630288.5955893
12169	7954	855	84963709.9736053
11889	7697	820	96015543.1572908
11833	7535	809	96367550.1211714
12374	7964	825	90650278.6797127
11397	7474	886	87859762.8133036
11983	7779	802	92068190.0793435
11860	7809	905	89565764.8507278
11503	7500	773	90497926.3544423
11896	7720	836	89308675.0861453
11783	7646	865	95070476.8063431
12168	7793	886	99601904.2480862
12029	7799	761	86455758.4459188
11413	7389	801	92670849.6685292
12078	7890	823	99859862.6294523
12209	7823	822	94302562.9927889
11946	7817	840	87282426.3337349
11812	7802	751	92749997.5604476
11722	7668	785	89388880.978736
12023	7800	820	82813918.3907137
11533	7468	822	84506926.1556251
11930	7742	827	87438558.8674517
11618	7562	771	90151769.2413574
11923	7688	888	94366478.8279021
12445	7995	904	93166507.5610197
11929	7691	855	89100189.580947
11733	7623	831	90356975.3844382
12080	7870	827	87118374.4827689
11606	7615	871	91605447.6556958
11839	7600	837	89456921.6416188
11863	7733	854	105962045.983196
11753	7626	806	86250993.465037
11649	7466	803	85051693.3001592
11707	7636	877	87440699.9533541
11803	7636	853	99473041.7234652
11619	7493	824	93036705.0975334
11517	7525	875	87247977.3971116
12025	7770	806	89045774.6844414
12272	7909	937	87969646.1103352
11772	7580	857	89601717.8805133
12179	7858	842	94091645.4030362
11949	7644	853	92556194.8306981
11945	7611	863	97008533.6643822
11908	7709	844	93430848.8319811
12042	7584	805	89319023.3520957
12028	7760	838	81762765.9902963
11572	7608	784	89149944.5937454
12190	8014	858	89575527.6170622
11722	7667	881	94626736.5824201
11358	7401	859	83425175.6225239
11994	7814	859	94408097.6470422
11423	7529	821	95634109.4466423
12549	8076	941	87024942.5731431
11715	7658	794	85731539.7986197
11854	7751	813	100742678.819493
11771	7593	779	91756127.5632272
11702	7643	904	88720804.1327765
11825	7751	868	94006494.1708007
12190	7960	858	94043880.8081553
11793	7743	868	93730406.1865258
11721	7597	789	93794619.0101837
11755	7636	817	87473945.1259217
11668	7500	830	93032957.9607903
11768	7653	774	90711930.5544379
11459	7545	873	98347968.7283664
11723	7649	828	91482368.4568956
11914	7897	922	96314163.9420352
11924	7835	881	89059800.0958389
11691	7571	836	91574449.6352713
11594	7553	826	90594658.1572223
11661	7502	805	85533804.2910537
12063	7912	881	89082819.4989445
12041	7840	903	87349613.3775745
12071	7734	856	98013536.48821
12090	7804	903	91681646.6956794
11794	7668	835	92324744.2873073
11802	7704	848	82476806.9231095
11845	7685	884	92327785.9220352
11858	7664	813	90167500.3275727
11502	7425	764	90781674.1582899
11909	7898	809	94680180.0568039
12091	7703	901	92335397.0371567
11649	7459	849	88892058.4456446
12099	7812	781	97146999.6880698
12196	7883	815	89430816.8372619
11537	7546	799	95111474.3110727
11734	7721	882	90575082.6490264
12011	7699	865	87720451.7763169
12001	7747	866	98287078.6315967
11887	7647	837	90119567.4941697
11749	7696	809	90477334.1351841
11588	7486	876	89537377.9907829
12081	7680	866	84711563.7689298
11959	7748	835	94183837.4928717
11932	7699	892	89853346.1066919
11720	7619	851	86081360.3003462
11910	7847	932	85759668.161162
11304	7414	786	88731725.1289107
12098	7781	846	101742567.685885
11839	7776	937	88619355.7808658
12014	7697	872	91403951.9477176
11498	7562	812	90598355.8146466
11996	7788	909	82067375.1139464
11721	7597	837	85273250.2453493
11495	7428	727	89785692.5676467
11849	7605	900	92699642.4110058
12262	7924	870	92686202.7903675
11592	7549	878	93278905.3079085
11894	7817	882	91226012.700776
11716	7537	805	87805790.2586903
11977	7733	862	91715251.0185758
12128	7851	797	96299855.5450585
11650	7471	802	93918271.6015896
11687	7554	823	90073953.2796984
11523	7495	893	89850894.0471451
11975	7645	745	96494772.0112696
12016	7624	799	95988006.7193079
11965	7726	887	88199125.7522842
11957	7837	827	88252971.6479776
11759	7589	863	97761231.9516996
11943	7867	851	89186681.2322246
11611	7657	826	103274338.40054
12120	7792	874	85145798.4607205
