"Fragment"	"WithVars"	"MoreHomozygous"	"AUC"
11789	619	33	10595721.4405026
11583	612	29	8750761.37710049
11515	608	30	8960710.8814372
11980	560	36	9510741.97725177
12162	621	33	9578192.40811758
11585	654	37	12116086.7871312
11513	579	36	9882319.18069815
11884	635	34	11173081.0116423
11968	638	31	11199345.4527407
11494	578	37	10155549.6063602
11923	652	32	9008441.39421642
12284	652	37	10819240.3816714
12044	611	31	8581823.1763801
11299	616	32	10963667.8480851
12225	629	40	9876733.63362496
11727	615	35	10144815.27179
12100	672	32	9280002.19826714
11748	622	39	10333380.8072191
11420	611	31	12519117.6561154
11573	634	33	10645687.1324049
11816	626	31	10124742.7273085
11956	600	31	9268464.11154439
11690	593	32	9682662.28426311
11781	591	32	10846700.523916
11857	604	32	8848908.10965754
11532	599	27	12663899.6180375
11750	610	37	8591010.24836743
12166	622	36	10402451.3214948
11694	635	32	8117692.45312261
11808	646	34	11431567.7842751
11669	601	36	11707898.6503933
11823	641	34	10603557.2805363
11676	651	35	9787379.52371448
12555	648	34	9198649.15389683
11699	627	28	9954024.84197413
11920	630	31	9199448.78963833
12040	614	31	9892038.0935319
11967	621	30	11556883.3894562
12001	616	37	10317290.0498056
11912	595	30	9556608.57829691
11837	655	33	10770780.4775061
12401	615	28	9569553.72119336
11805	608	37	10182708.367996
11935	627	33	10698248.9825915
11947	636	31	8947303.32869871
11520	631	30	9757815.11425041
12108	577	33	10381781.695552
12148	653	34	9658271.47450344
11929	610	33	10446945.2890913
11462	612	35	11724894.8498766
11710	616	29	9212810.6059635
12409	642	35	9954541.96569599
11550	611	32	9435048.80448427
11444	639	37	10848663.9755869
11749	640	35	9781956.19729179
12089	609	27	8489909.80712273
11873	606	39	9437064.58621106
12000	608	36	10892519.3626372
11351	611	34	10760945.692425
11554	589	30	10383883.6617908
11934	669	31	9794968.15732099
11731	653	32	8782412.32067059
12368	661	35	10390785.6345415
11793	596	33	9853530.26641463
11955	629	34	10409076.520166
11570	606	29	10170756.1274987
11746	590	33	10537376.2501673
11832	630	34	10902873.4254741
11517	611	31	11554929.493917
11872	625	29	9807626.10037241
11753	661	27	8752559.54341111
11821	622	31	10230287.0143877
11928	604	33	9486377.18483337
11921	613	32	10621951.5868505
11919	603	33	9311450.7074581
11817	588	37	11207083.5748582
11442	586	35	10659705.2688179
11984	579	31	9863379.15814172
11863	608	27	8916447.14190669
12032	643	30	9001461.40749568
12139	636	33	9623003.19671708
11917	644	35	9637292.33742967
12001	645	37	11812741.3712511
11801	611	32	10228152.5264684
12048	646	38	10333537.8421134
11594	611	34	9478386.87057675
12159	610	30	8779825.86136482
11916	600	32	10433594.9569436
12003	650	41	9476072.8771705
11767	617	29	7377940.1132212
12005	624	36	10457243.3877649
12029	678	33	11442575.6145913
12033	667	35	10209129.396284
11889	594	30	10095789.0812238
11779	597	32	10438231.9640048
12320	622	31	10897213.7040933
12149	618	34	9289439.06579799
11799	648	30	10381465.6883751
11408	599	34	10356553.3335241
11824	647	36	10194220.7814899
12138	627	35	9515759.51179794
12380	642	33	9714008.79302906
12235	654	38	9335898.15908937
12008	624	34	10159020.5303425
11725	597	31	10700933.1889722
11470	611	35	9292340.38602902
12306	609	33	8595277.85777616
12095	623	30	9824906.06372737
11901	632	33	9050797.51701309
11922	640	36	10095185.7576294
11419	630	36	10709864.5356012
11733	621	33	10111210.1783925
11704	615	33	10054811.5438325
11796	656	33	10620071.8694922
11915	625	33	9032422.91210913
11974	574	29	9372734.95304842
11738	627	37	12167144.3843735
11406	617	34	9179787.84507711
12051	630	34	10240073.8849922
12622	672	34	9137907.8867324
11889	663	36	10568761.386907
11746	644	35	11664795.4170503
11845	607	33	11580723.5744618
11743	627	36	11011063.8552938
11800	648	37	10576216.7050754
11993	592	30	11267772.4681237
11828	613	31	11079668.7956894
12106	631	31	9961557.38114986
11553	637	34	11774984.5650144
11714	632	33	10712291.2247558
11737	602	35	9327323.41770271
